equation_id,route,formulation,required_quantities,compatibility_status,adoption_rule
E01,R1_BRIDGE_PINO,"L=data+lambda_BC L_BC+lambda_spec L_spec+lambda_phys L_phys","same-case fields; BC mask; spectra; compatible residual",PARTIAL,"Physics term enabled only after FEM floor passes"
E02,R2_MO_PIGNO,"L_kin=||(v-D_t u)-r_uv_FEM||^2+||(a-D_t v)-r_va_FEM||^2","u;v;a;saved-time derivative; FEM defect",COMPATIBLE_DEFECT_AWARE,"Use CAL/inner-fold defect only and report integral alternative"
E03,R3_GRAPH_NEURAL_GALERKIN,"R_j=sum_e integral(Omega_e) delta_eps_j^T sigma(q) dOmega - delta_q_j^T f","Beam trial/test functions; element properties; loads; BC",PENDING_FORCE_CLOSURE,"Implement only in common six-DOF test space and compare pred=FEM floor"
E04,R4_PORT_HAMILTONIAN_OPINF,"xdot=(J-R) grad H(x)+B (u+r_theta); J^T=-J; R>=0","Physical32 q,p=Mv; tangent-assisted xdot; force; H; decoder",COMPATIBLE_TANGENT_ASSISTED,"Fit only on the active training partition; residual enters the same port and must have nonzero trajectory gradient"
E05,R4_PORT_HAMILTONIAN_OPINF,"dH/dt=-gradH^T R gradH+y^T (u+r_theta)","energy; dissipation; inferred port input/output; midpoint trajectory",PASS_REPRESENTATION_GATE,"Passivity and discrete energy balance remain independent gates; they do not prove field accuracy"
E06,R5_ROTATION_MULTISCALE_GNO,"m_ij^loc=phi(R_e^T x_i,R_e^T x_j,p_e); m_ij^glob=T_e m_ij^loc","polar translations; axial rotations; Beam frame; properties",COMPATIBLE_WITH_GRAPH,"Reflection must apply different parity to polar and axial channels"
E07,R5_ROTATION_MULTISCALE_GNO,"fine-to-coarse -> coarse interaction -> coarse-to-fine","frozen hierarchy; prolongation; restriction",PENDING_HIERARCHY_QA,"Admit only if coarse branch nonzero and improves receptive field/cost"
E08,R6_LOAD_DEPENDENT_RITZ_KRYLOV,"K r_1=f; K r_{k+1}=M r_k with mass orthogonalization","inner-training K/M auditor or compatible reduced operators; loads",PARTIAL_AUDITOR_ONLY,"Basis is fold-local and cannot claim COMSOL full transient operator identity"
E09,R6_LOAD_DEPENDENT_RITZ_KRYLOV,"M_r qdd+C_r qd+K_r q=B_r u+r_theta","basis V; projected second-order operators; load history",COMPATIBLE_REDUCED_AUDITOR,"Compare against modal and POD oracle floors before training residual"
E10,ALL,"U_total=U_base_FEM+DeltaU_pred","audited base field; incremental target",PENDING_BASE_FIELD_FREEZE,"Every metric labels total versus incremental"
