source_id,route,concrete_decision_changed,adopt,not_transferable,required_preflight,classification
CHEN_BRIDGE_PINO,R1_BRIDGE_PINO,"Use multiple physical/load inputs, separated data/BC/frequency/physics diagnostics and recurrent trajectory comparator",CONDITIONAL,"Previous FEM response as mandatory input; copied central differences; copied VBI/Newmark residual; published loss weights","Three-case capacity; same-case causal inputs; FEM residual-floor test",APPLICATION_IMMEDIATE_CONDITIONED
LI_PINO,R1_BRIDGE_PINO,"Use data-plus-compatible-physics ablation at operator level and compare against equal-capacity data-only control",CONDITIONAL,"High-resolution PDE residual on regular grids when compatible beam residual is absent","Residual floor on FEM samples; no fixed-grid leakage",TRANSFER_CONDITIONED
LU_IMPROVED_DEEPONET,R1_BRIDGE_PINO,"Permit branch/trunk input factorization and residual connections as the one representation repair",CONDITIONAL,"Benchmark-specific architectures or claims of irregular-bridge validity","Parameter/capacity match and micropanel memorization",OPTIMIZATION_AND_REPRESENTATION_REFERENCE
GAO_GRAPH_GALERKIN,R3_GRAPH_NEURAL_GALERKIN,"Separate graph field map from elementwise variational residual assembly; impose hard essential BC",YES_PATTERN_ONLY,"Scalar/static example equations and meshes; direct code reuse as bridge solver","Beam virtual-work unit tests; pred=FEM floor; quadrature consistency",APPLICATION_IMMEDIATE
YAMAZAKI_FE_OPERATOR,R3_GRAPH_NEURAL_GALERKIN,"Require test and trial quantities to live in a compatible discrete FEM/observation space",YES_PRINCIPLE,"First-order thermal PDE evidence as validation of 3D Timoshenko dynamics","Compatible projection and weak-floor audit",TRANSFER_CONDITIONED
GENG_PH_OPINF,R4_PORT_HAMILTONIAN_OPINF,"Infer fold-local reduced D=J-R and B from training-only q,v,f snapshots in Physical32 energy coordinates; propagate by implicit midpoint and inject zero-start graph residual through the inferred port",YES_METHOD,"Paper examples or numerical errors as bridge evidence; claiming fully nonintrusive OpInf when xdot is tangent-assisted","Energy-coordinate QA; constrained-solver convergence; passivity; forced-rollout stability; input closure; connected residual gradient",APPLICATION_IMMEDIATE_CONDITIONED
SHARMA_H_OPINF,R4_PORT_HAMILTONIAN_OPINF,"Use Hamiltonian OpInf as unconstrained/undamped precursor ablation only",CONDITIONAL,"Canonical conservative assumption for damped forced bridge","Compare unconstrained vs pH constrained reduced flow",BASELINE_WITHIN_ROUTE
SATORRAS_EGNN,R5_ROTATION_MULTISCALE_GNO,"Use global rigid-motion/permutation tests as architectural QA",CONDITIONAL,"Basic EGNN alone does not encode polar-versus-axial parity or Beam local mechanics","Reflection and edge-reversal tests with six-DOF types",TRANSFER_CONDITIONED
DU_LOCAL_FRAMES,R5_ROTATION_MULTISCALE_GNO,"Project tensor/vector messages through complete local frames; reuse audited Beam frames rather than relearn geometry",CONDITIONAL,"Molecular/Newtonian benchmarks as bridge validation","Frame orthogonality; reversal; local-global round trip",APPLICATION_IMMEDIATE_CONDITIONED
LI_MGNO,R5_ROTATION_MULTISCALE_GNO,"Use one frozen fine-coarse-fine hierarchy as the representation repair for long-range messages",CONDITIONAL,"Claiming MGNO is rotation-aware or directly valid for structural dynamics","Hierarchy coverage; nonzero coarse contribution; memory/cost",TRANSFER_CONDITIONED
WILSON_RITZ,R6_LOAD_DEPENDENT_RITZ_KRYLOV,"Construct load-dependent vectors only from inner-training load directions and compare oracle floors with modal/POD",YES,"Global basis built from all 68 loads; treating Ritz basis alone as neural operator","No-leakage basis hash per fold; force projection; orthogonality",APPLICATION_IMMEDIATE
BAI_SU_SOAR,R6_LOAD_DEPENDENT_RITZ_KRYLOV,"Use second-order Krylov/SOAR as the single basis repair while preserving M,C,K second-order form",YES,"Unaudited shifts/orders; replacing reference FEM; claiming stability without checks","Moment/force projection; conditioning; stable rollout",APPLICATION_IMMEDIATE
FEM_COMSOL_REFERENCE,ALL,"Keep one reference: solution FEM obtained with COMSOL; measure compatible physical floors on it",YES,"COMSOL-vs-FEM comparison; full transient MCK identity claims from reduced auditor matrices","Authority/hash/nonmixing gates",NUMERICAL_AUTHORITY
