legacy_id,artifact_or_family,campaign,evidence_class,scientific_scope,key_result,reusable_element,prohibition_or_limit,authority_path
B2,POD+causal_FIR+Ridge,post-S8R,VALID_FINAL_EVIDENCE,"nested grouped OOF historical","predictive control retained","OOF predictions; folds; metrics","not physics-informed; not blind test","structure_preserving_pigno_v4/thesis_pigno_v4_final/legacy_links/B2_BASELINE_REPRODUCTION_REPORT.json"
C1B_02,residual temporal operator,post-S8R,VALID_FINAL_EVIDENCE,"nested grouped OOF historical; negative utility decision","valid final OOF evidence; noninferior but no material gain over B2","OOF predictions; metrics; code and comparison protocol","do not call accepted PIGNO, superior surrogate, blind test, or new data","post_s8r_literature_guided_v1/post_s8r_doctoral_closeout_v1/registry/FINAL_EVIDENCE_AUTHORITY.md"
D0,reduced baseline,dynamic_full_graph_flow_pigno_v5,VALID_NEGATIVE_EVIDENCE,"one-case capacity control","reference for H1/H2 capacity","state representation","not multicase utility","dynamic_full_graph_flow_pigno_v5"
H1,full-graph flow operator,dynamic_full_graph_flow_pigno_v5,CAPACITY_ONLY,"one-case capacity","q=0.0007026; qdot=0.04840; RYdot=0.20943","full graph code; hard BC","no micropanel or OOF","v5r_mo_pigno_final_campaign/V5_RESULT_REINTERPRETATION.md"
H2,hierarchical graph flow,dynamic_full_graph_flow_pigno_v5,CAPACITY_ONLY,"one-case capacity","q=0.0007044; qdot=0.04869; RYdot=0.20981","hierarchy code candidates","no demonstrated gain; no OOF","v5r_mo_pigno_final_campaign/V5_RESULT_REINTERPRETATION.md"
VG_V3,variational graph operator,strong_physics_pigno_v3,VALID_NEGATIVE_EVIDENCE,"one-case capacity","weak residual -21.27% vs B4 but u degraded 6.94%","weak-form tests; message passing","strong-form claim forbidden; no OOF","strong_physics_pigno_v3/S8_GATE_DECISION.json"
V4_SP,structure-preserving reduced-state PIGNO,structure_preserving_pigno_v4,VALID_NEGATIVE_EVIDENCE,"capacity and representation","full-dt correction solved representation floor; later gates failed","six-DOF bases; projection QA","do not reinterpret as all-family failure","structure_preserving_pigno_v4/S8_FAILURE_LOG.md"
V5,full-graph dynamic flow,dynamic_full_graph_flow_pigno_v5,VALID_NEGATIVE_EVIDENCE,"one-case capacity","primary state pass; full-state fail isolated to RYdot","graph audit; kinematic contracts","no multicase graph utility","dynamic_full_graph_flow_pigno_v5/CURRENT_STATE_V5.md"
V5R_M0,multi-output common,v5r_mo_pigno_final_campaign,CAPACITY_ONLY,"one-case capacity","u/v/w under 1%; late-quarter growth failed","trainer; metrics; figures","no S6-S13; no OOF","v5r_mo_pigno_final_campaign/S5_CAPACITY_CLOSURE.md"
V5R_M1,shared_encoder_specialized_heads,v5r_mo_pigno_final_campaign,CAPACITY_ONLY,"one-case capacity","primary fields pass; stability gate fail","multihead code","not multicase","v5r_mo_pigno_final_campaign/S5_CAPACITY_CLOSURE.md"
V5R_M2,specialized_operators,v5r_mo_pigno_final_campaign,CAPACITY_ONLY,"one-case capacity","repair plateau did not resolve growth","specialized scaling/bases","does not close MO-PIGNO physics coupling","v5r_mo_pigno_final_campaign/S5_CAPACITY_CLOSURE.md"
V5R_M3,physically_coupled_MO,v5r_mo_pigno_final_campaign,NOT_ACTUALLY_TESTED,"planned","not implemented","contract concepts","must be evaluated anew","v5r_mo_pigno_final_campaign/MULTIOPERATOR_PHYSICS_GATE.json"
PORT_HAMILTONIAN_V5R,port-Hamiltonian residual,v5r_mo_pigno_final_campaign,NOT_ACTUALLY_TESTED,"planned","not implemented or evaluated","none yet","no historical conclusion","v5r_mo_pigno_final_campaign/MULTIOPERATOR_PHYSICS_GATE.json"
ROTATION_MULTISCALE_V5R,rotation-aware multilevel graph,v5r_mo_pigno_final_campaign,NOT_ACTUALLY_TESTED,"planned","not implemented or evaluated","local-frame contracts","no historical conclusion","v5r_mo_pigno_final_campaign/MULTIOPERATOR_PHYSICS_GATE.json"
MLP,data-only neural control,pigno_dynamic_v2,VALID_NEGATIVE_EVIDENCE,"historical controls","not accepted as surrogate","capacity/control code","control only","pigno_dynamic_v2"
GNN,data-only graph control,pigno_dynamic_v2,VALID_NEGATIVE_EVIDENCE,"historical controls","graph participation not robust utility","graph plumbing","control only","pigno_dynamic_v2"
TCN,temporal data-only control,post-S8R,VALID_NEGATIVE_EVIDENCE,"historical control","did not displace B2","causal temporal code","control only","post_s8r_literature_guided_v1"
FNO_TFNO,Fourier operator controls,post-S8R,VALID_NEGATIVE_EVIDENCE,"historical preflights","no accepted final operator","spectral temporal modules","fixed-grid assumptions require adaptation","post_s8r_literature_guided_v1"
POD_ROM,projection and ROM controls,multiple,VALID_FINAL_EVIDENCE,"representation/baseline","supports B2 and oracle floors","CAL-only bases; reconstruction QA","not physics-informed by itself","strong_physics_pigno_v3/REDUCED_BASIS_CONTRACT.json"
MODAL_BASES,eigenmode bases,multiple,VALID_NEGATIVE_EVIDENCE,"representation audits","useful but insufficient alone for all rates","MAC/subspace protocols","FEM modal reference remains authority","strong_physics_pigno_v3/BASIS_COMPARISON.csv"
RITZ_KRYLOV_PRIOR,load-dependent bases,prior campaigns,NOT_ACTUALLY_TESTED,"named hypothesis","no complete portfolio comparison","candidate derivations","requires audited load vectors","structure_preserving_pigno_v4/V4_EQUATION_METHOD_CATALOG.csv"
