source_id,year,title,type,primary_url_or_doi,local_evidence,route,authority_level,status
CHEN_BRIDGE_PINO,2026,Physics-informed neural operator for forecasting vehicle-induced bridge vibration trajectories,peer_reviewed_paper,https://doi.org/10.1016/j.engappai.2026.114708,C:/Users/yunim/Downloads/1-s2.0-S0952197626009905-main.pdf,R1_BRIDGE_PINO,PRIMARY,REVIEWED_FULL_TEXT
LI_PINO,2021,Physics-Informed Neural Operator for Learning Partial Differential Equations,primary_preprint,https://arxiv.org/abs/2111.03794,external_code/neuraloperator_physics_informed,R1_BRIDGE_PINO,PRIMARY_METHOD,CODE_ARCHIVE_BLOCKED
LU_IMPROVED_DEEPONET,2021,Improved architectures and training algorithms for DeepONets,primary_preprint,https://arxiv.org/abs/2110.01654,external_code/ImprovedDeepONets,R1_BRIDGE_PINO,PRIMARY_METHOD,REVIEWED_METHOD
GAO_GRAPH_GALERKIN,2022,Physics-informed graph neural Galerkin networks,peer_reviewed_method,https://arxiv.org/abs/2107.12146,external_code/Jianxun-Wang_graphGalerkin,R3_GRAPH_NEURAL_GALERKIN,PRIMARY_METHOD,REVIEWED_METHOD_AND_CODE
YAMAZAKI_FE_OPERATOR,2025,A finite element-based physics-informed operator learning framework for spatiotemporal PDEs on arbitrary domains,peer_reviewed_paper,https://doi.org/10.1007/s00366-024-02033-8,structure_preserving_pigno_v4/V4_SOURCE_TRANSFER_MATRIX.csv,R3_GRAPH_NEURAL_GALERKIN,PRIMARY_METHOD,TRANSFER_CONDITIONED
GENG_PH_OPINF,2025,Data-driven reduced-order models for port-Hamiltonian systems with operator inference,peer_reviewed_paper,https://doi.org/10.1016/j.cma.2025.118042,source_audit/primary_urls.txt,R4_PORT_HAMILTONIAN_OPINF,PRIMARY_METHOD,REVIEWED_METHOD
SHARMA_H_OPINF,2022,Hamiltonian operator inference: Physics-preserving learning of reduced-order models for canonical Hamiltonian systems,peer_reviewed_paper,https://doi.org/10.1016/j.physd.2021.133122,source_audit/primary_urls.txt,R4_PORT_HAMILTONIAN_OPINF,PRIMARY_PRECURSOR,REVIEWED_METHOD
SATORRAS_EGNN,2021,E(n) Equivariant Graph Neural Networks,peer_reviewed_conference,https://proceedings.mlr.press/v139/satorras21a,R5_ROTATION_MULTISCALE_GNO,PRIMARY_METHOD,TRANSFER_CONDITIONED
DU_LOCAL_FRAMES,2022,SE(3) Equivariant Graph Neural Networks with Complete Local Frames,peer_reviewed_conference,https://proceedings.mlr.press/v162/du22e.html,R5_ROTATION_MULTISCALE_GNO,PRIMARY_METHOD,TRANSFER_CONDITIONED
LI_MGNO,2020,Multipole Graph Neural Operator for Parametric Partial Differential Equations,peer_reviewed_conference,https://proceedings.neurips.cc/paper_files/paper/2020/hash/4b21cf96d4cf612f239a6c322b10c8fe-Abstract.html,R5_ROTATION_MULTISCALE_GNO,PRIMARY_METHOD,TRANSFER_CONDITIONED
WILSON_RITZ,1982,Dynamic analysis by direct superposition of Ritz vectors,peer_reviewed_paper,https://doi.org/10.1002/eqe.4290100606,source_audit/primary_urls.txt,R6_LOAD_DEPENDENT_RITZ_KRYLOV,PRIMARY_METHOD,REVIEWED_METHOD
BAI_SU_SOAR,2005,Dimension reduction of large-scale second-order dynamical systems via a second-order Arnoldi method,peer_reviewed_paper,https://doi.org/10.1137/040605552,source_audit/primary_urls.txt,R6_LOAD_DEPENDENT_RITZ_KRYLOV,PRIMARY_METHOD,REVIEWED_METHOD
FEM_COMSOL_REFERENCE,NA,Original FEM bridge model implemented and solved in COMSOL,numerical_authority,LOCAL_FEM_AUTHORITY,../audits/S1_DATA_AUTHORITY_QA.json,ALL,NUMERICAL_AUTHORITY,PASS
